No,Nama Function,Kategori,Sintaks,Deskripsi,Contoh Kasus,Tingkat,Catatan
289,SUMXMY2,Math and Trigonometry,"=SUMXMY2(array_x,array_y)",Menjumlahkan kuadrat selisih array,"=SUMXMY2({1,2},{3,4}) ? 5",Advanced,
290,TAN,Math and Trigonometry,=TAN(number),Mengembalikan tangen sudut,=TAN(PI()/4) ? 1,Basic,
291,TANH,Math and Trigonometry,=TANH(number),Mengembalikan tangen hiperbolik angka,=TANH(1) ? 0.761594,Basic,
292,TRUNC,Math and Trigonometry,"=TRUNC(number,[num_digits])",Memotong angka menjadi integer,=TRUNC(4.7) ? 4,Basic,
293,AVEDEV,Statistical,"=AVEDEV(number1,[number2],...)",Mengembalikan rata-rata deviasi absolut dari titik data terhadap rata-ratanya,"=AVEDEV(1,2,3,4) ? 1",Basic,
294,AVERAGE,Statistical,"=AVERAGE(number1,[number2],...)",Mengembalikan rata-rata dari argumen,"=AVERAGE(1,2,3,4) ? 2.5",Basic,
295,AVERAGEA,Statistical,"=AVERAGEA(value1,[value2],...)","Mengembalikan rata-rata dari argumen termasuk angka, teks, dan logika","=AVERAGEA(1,TRUE, ""3"") ? 1.333",Basic,
296,AVERAGEIF,Statistical,"=AVERAGEIF(range,criteria,[average_range])",Mengembalikan rata-rata sel yang memenuhi kriteria,7.5,Basic,
297,AVERAGEIFS,Statistical,"=AVERAGEIFS(average_range,criteria_range1,criteria1,...)",Mengembalikan rata-rata sel yang memenuhi beberapa kriteria,#DIV/0!,Intermediate,
298,BETA.DIST,Statistical,"=BETA.DIST(x,alpha,beta,cumulative,[A],[B])",Mengembalikan fungsi distribusi beta kumulatif,"=BETA.DIST(0.5,2,2,TRUE) ? 0.5",Advanced,
299,BETA.INV,Statistical,"=BETA.INV(probability,alpha,beta,[A],[B])",Mengembalikan invers dari fungsi distribusi beta kumulatif,"=BETA.INV(0.5,2,2) ? 0.5",Advanced,
300,BINOM.DIST,Statistical,"=BINOM.DIST(number_trials,probability_s,trials,cumulative)",Mengembalikan probabilitas binomial,"=BINOM.DIST(2,0.5,3,FALSE) ? 0.375",Advanced,
301,BINOM.DIST.RANGE,Statistical,"=BINOM.DIST.RANGE(trials,probability_s,s,t)",Mengembalikan probabilitas hasil percobaan binomial,"=BINOM.DIST.RANGE(3,0.5,2,3) ? 0.5",Advanced,
302,BINOM.INV,Statistical,"=BINOM.INV(trials,probability_s,alpha)",Mengembalikan nilai terkecil dengan distribusi binomial kumulatif ? ?,"=BINOM.INV(3,0.5,0.5) ? 1",Advanced,
303,CHISQ.DIST,Statistical,"=CHISQ.DIST(x,deg_freedom,cumulative)",Mengembalikan distribusi chi-kuadrat kumulatif,"=CHISQ.DIST(2,1,TRUE) ? 0.8427",Advanced,
304,CHISQ.DIST.RT,Statistical,"=CHISQ.DIST.RT(x,deg_freedom)",Mengembalikan probabilitas satu sisi distribusi chi-kuadrat,"=CHISQ.DIST.RT(2,1) ? 0.1573",Advanced,
305,CHISQ.INV,Statistical,"=CHISQ.INV(probability,deg_freedom)",Mengembalikan invers distribusi chi-kuadrat kumulatif,"=CHISQ.INV(0.8427,1) ? 2",Advanced,
306,CHISQ.INV.RT,Statistical,"=CHISQ.INV.RT(probability,deg_freedom)",Mengembalikan invers probabilitas satu sisi chi-kuadrat,"=CHISQ.INV.RT(0.1573,1) ? 2",Advanced,
307,CHISQ.TEST,Statistical,"=CHISQ.TEST(actual_range,expected_range)",Mengembalikan uji independensi chi-kuadrat,#DIV/0!,Advanced,
308,CONFIDENCE.NORM,Statistical,"=CONFIDENCE.NORM(alpha,standard_dev,size)",Mengembalikan interval kepercayaan untuk rata-rata populasi,"=CONFIDENCE.NORM(0.05,2,25) ? 0.784",Intermediate,
309,CONFIDENCE.T,Statistical,"=CONFIDENCE.T(alpha,standard_dev,size)",Mengembalikan interval kepercayaan dengan distribusi t,"=CONFIDENCE.T(0.05,2,25) ? 0.816",Intermediate,
310,CORREL,Statistical,"=CORREL(array1,array2)",Mengembalikan koefisien korelasi antar dua dataset,"=CORREL(A1:A10,B1:B10) ? 0.87",Intermediate,
311,COUNT,Statistical,"=COUNT(value1,[value2],...)",Menghitung jumlah angka di argumen,"=COUNT(1,2,""a"") ? 2",Basic,
312,COUNTA,Statistical,"=COUNTA(value1,[value2],...)",Menghitung jumlah nilai (termasuk teks/logika),"=COUNTA(1,""a"",TRUE) ? 3",Basic,
313,COUNTBLANK,Statistical,=COUNTBLANK(range),Menghitung jumlah sel kosong dalam range,=COUNTBLANK(A1:A10) ? 2,Basic,
314,COUNTIF,Statistical,"=COUNTIF(range,criteria)",Menghitung jumlah sel yang memenuhi kriteria,"=COUNTIF(A1:A10,"">5"") ? 3",Basic,
315,COUNTIFS,Statistical,"=COUNTIFS(criteria_range1,criteria1,[criteria_range2,criteria2],...)",Menghitung jumlah sel berdasarkan beberapa kriteria,"=COUNTIFS(A1:A10,"">5"",B1:B10,""<10"") ? 2",Intermediate,
316,COVARIANCE.P,Statistical,"=COVARIANCE.P(array1,array2)",Mengembalikan kovarians populasi,"=COVARIANCE.P(A1:A10,B1:B10) ? 1.25",Advanced,
317,COVARIANCE.S,Statistical,"=COVARIANCE.S(array1,array2)",Mengembalikan kovarians sampel,"=COVARIANCE.S(A1:A10,B1:B10) ? 1.35",Advanced,
318,DEVSQ,Statistical,"=DEVSQ(number1,[number2],...)",Mengembalikan jumlah kuadrat deviasi dari rata-rata,"=DEVSQ(1,2,3) ? 2",Intermediate,
319,EXPON.DIST,Statistical,"=EXPON.DIST(x,lambda,cumulative)",Mengembalikan distribusi eksponensial,"=EXPON.DIST(2,1,TRUE) ? 0.865",Advanced,
320,F.DIST,Statistical,"=F.DIST(x,deg_freedom1,deg_freedom2,cumulative)",Mengembalikan distribusi probabilitas F,"=F.DIST(2,3,5,TRUE) ? 0.857",Advanced,
321,F.DIST.RT,Statistical,"=F.DIST.RT(x,deg_freedom1,deg_freedom2)",Mengembalikan distribusi probabilitas F sisi kanan,"=F.DIST.RT(2,3,5) ? 0.143",Advanced,
322,F.INV,Statistical,"=F.INV(probability,deg_freedom1,deg_freedom2)",Mengembalikan invers distribusi F kumulatif,"=F.INV(0.857,3,5) ? 2",Advanced,
323,F.INV.RT,Statistical,"=F.INV.RT(probability,deg_freedom1,deg_freedom2)",Mengembalikan invers distribusi F sisi kanan,"=F.INV.RT(0.143,3,5) ? 2",Advanced,
324,F.TEST,Statistical,"=F.TEST(array1,array2)",Mengembalikan hasil uji F,"=F.TEST(A1:A10,B1:B10) ? 0.15",Advanced,
325,FISHER,Statistical,=FISHER(x),Mengembalikan transformasi Fisher dari nilai korelasi,=FISHER(0.5) ? 0.5493,Advanced,
326,FISHERINV,Statistical,=FISHERINV(y),Mengembalikan invers transformasi Fisher,=FISHERINV(0.5493) ? 0.5,Advanced,
327,FORECAST,Statistical,"=FORECAST(x,known_y's,known_x's)",Mengembalikan nilai sepanjang tren linier,"=FORECAST(10,B1:B10,A1:A10) ? 25",Intermediate,"Digunakan di Excel 2016+, digantikan dengan FORECAST.LINEAR"
328,FORECAST.ETS,Statistical,"=FORECAST.ETS(target_date,values,timeline,[seasonality],[data_completion],[aggregation])",Mengembalikan nilai masa depan menggunakan algoritma ETS,"=FORECAST.ETS(TODAY()+30,B1:B30,A1:A30) ? 100",Advanced,
329,FORECAST.ETS.CONFINT,Statistical,"=FORECAST.ETS.CONFINT(target_date,values,timeline,[seasonality],[confidence])",Mengembalikan interval kepercayaan untuk nilai forecast,"=FORECAST.ETS.CONFINT(TODAY()+30,B1:B30,A1:A30) ? 15",Advanced,
330,FORECAST.ETS.SEASONALITY,Statistical,"=FORECAST.ETS.SEASONALITY(values,timeline,[data_completion],[aggregation])",Mengembalikan panjang pola musiman dari time series,"=FORECAST.ETS.SEASONALITY(B1:B30,A1:A30) ? 12",Advanced,
331,FORECAST.ETS.STAT,Statistical,"=FORECAST.ETS.STAT(values,timeline,stat_type,[seasonality],[data_completion],[aggregation])",Mengembalikan nilai statistik dari forecast time series,"=FORECAST.ETS.STAT(B1:B30,A1:A30,1) ? 0.85",Advanced,
332,FORECAST.LINEAR,Statistical,"=FORECAST.LINEAR(x,known_y's,known_x's)",Mengembalikan nilai sepanjang tren linier (pengganti FORECAST),"=FORECAST.LINEAR(10,B1:B10,A1:A10) ? 25",Intermediate,
333,FREQUENCY,Statistical,"=FREQUENCY(data_array,bins_array)",Mengembalikan distribusi frekuensi sebagai array vertikal,"=FREQUENCY(A1:A10,B1:B5) ? {0;2;3;5}",Intermediate,
334,GAMMA,Statistical,=GAMMA(x),Mengembalikan nilai fungsi Gamma,=GAMMA(4) ? 6,Advanced,
335,GAMMA.DIST,Statistical,"=GAMMA.DIST(x,alpha,beta,cumulative)",Mengembalikan distribusi gamma,"=GAMMA.DIST(2,3,1,TRUE) ? 0.8",Advanced,
336,GAMMA.INV,Statistical,"=GAMMA.INV(probability,alpha,beta)",Mengembalikan invers distribusi gamma kumulatif,"=GAMMA.INV(0.8,3,1) ? 2",Advanced,
337,GAMMALN,Statistical,=GAMMALN(x),"Mengembalikan ln dari fungsi gamma, ?(x)",=GAMMALN(4) ? 1.792,Advanced,
338,GAMMALN.PRECISE,Statistical,=GAMMALN.PRECISE(x),"Mengembalikan ln dari fungsi gamma, ?(x)",=GAMMALN.PRECISE(4) ? 1.792,Advanced,
339,GAUSS,Statistical,=GAUSS(x),Mengembalikan 0.5 dikurangi distribusi normal standar kumulatif,=GAUSS(1) ? 0.1587,Advanced,
340,GEOMEAN,Statistical,"=GEOMEAN(number1,[number2],...)",Mengembalikan rata-rata geometrik,"=GEOMEAN(1,10) ? 3.162",Intermediate,
341,GROWTH,Statistical,"=GROWTH(known_y's,known_x's,new_x's,[const])",Mengembalikan nilai sepanjang tren eksponensial,"=GROWTH(B1:B10,A1:A10) ? 120",Advanced,
342,HARMEAN,Statistical,"=HARMEAN(number1,[number2],...)",Mengembalikan rata-rata harmonik,"=HARMEAN(1,4) ? 1.6",Intermediate,
343,HYPGEOM.DIST,Statistical,"=HYPGEOM.DIST(sample_s,number_sample,population_s,population)",Mengembalikan distribusi hipergeometrik,"=HYPGEOM.DIST(2,5,10,20,FALSE) ? 0.2381",Advanced,
344,INTERCEPT,Statistical,"=INTERCEPT(known_y's,known_x's)",Mengembalikan intercept garis regresi linear,"=INTERCEPT(B1:B10,A1:A10) ? 2",Intermediate,
345,KURT,Statistical,"=KURT(number1,[number2],...)",Mengembalikan kurtosis dari dataset,=KURT(A1:A10) ? 1.5,Advanced,
346,LARGE,Statistical,"=LARGE(array,k)",Mengembalikan nilai terbesar ke-k dari dataset,"=LARGE(A1:A10,2) ? 9",Intermediate,
347,LINEST,Statistical,"=LINEST(known_y's,known_x's,[const],[stats])",Mengembalikan parameter garis tren linear,"=LINEST(B1:B10,A1:A10,TRUE,TRUE) ? {slope, intercept}",Advanced,
348,LOGEST,Statistical,"=LOGEST(known_y's,known_x's,[const],[stats])",Mengembalikan parameter tren eksponensial,"=LOGEST(B1:B10,A1:A10) ? {a,b}",Advanced,
349,LOGNORM.DIST,Statistical,"=LOGNORM.DIST(x,mean,standard_dev,cumulative)",Mengembalikan distribusi lognormal kumulatif,"=LOGNORM.DIST(2,0,1,TRUE) ? 0.841",Advanced,
350,LOGNORM.INV,Statistical,"=LOGNORM.INV(probability,mean,standard_dev)",Mengembalikan invers distribusi lognormal,"=LOGNORM.INV(0.841,0,1) ? 2",Advanced,
351,MAX,Statistical,"=MAX(number1,[number2],...)",Mengembalikan nilai maksimum,=MAX(A1:A10) ? 10,Basic,
352,MAXA,Statistical,"=MAXA(value1,[value2],...)",Mengembalikan nilai maksimum termasuk teks/logika,"=MAXA(TRUE,1,2) ? 2",Intermediate,
353,MAXIFS,Statistical,"=MAXIFS(max_range,criteria_range1,criteria1,[criteria_range2,criteria2],...)",Mengembalikan maksimum dari kriteria tertentu,"=MAXIFS(B1:B10,A1:A10,"">5"") ? 9",Advanced,
354,MEDIAN,Statistical,"=MEDIAN(number1,[number2],...)",Mengembalikan median,=MEDIAN(A1:A10) ? 5,Basic,
355,MIN,Statistical,"=MIN(number1,[number2],...)",Mengembalikan nilai minimum,=MIN(A1:A10) ? 1,Basic,
356,MINA,Statistical,"=MINA(value1,[value2],...)",Mengembalikan nilai minimum termasuk teks/logika,"=MINA(TRUE,1,2) ? 0",Intermediate,
357,MINIFS,Statistical,"=MINIFS(min_range,criteria_range1,criteria1,[criteria_range2,criteria2],...)",Mengembalikan minimum dari kriteria tertentu,"=MINIFS(B1:B10,A1:A10,"">5"") ? 6",Advanced,
358,MODE.MULT,Statistical,"=MODE.MULT(number1,[number2],...)",Mengembalikan array nilai paling sering muncul,"=MODE.MULT(A1:A10) ? {5,7}",Intermediate,
359,MODE.SNGL,Statistical,"=MODE.SNGL(number1,[number2],...)",Mengembalikan nilai paling sering muncul,=MODE.SNGL(A1:A10) ? 5,Intermediate,
360,NEGBINOM.DIST,Statistical,"=NEGBINOM.DIST(number_f,number_s,probability_s,cumulative)",Mengembalikan distribusi binomial negatif,"=NEGBINOM.DIST(2,5,0.5,FALSE) ? 0.0625",Advanced,
361,NORM.DIST,Statistical,"=NORM.DIST(x,mean,standard_dev,cumulative)",Mengembalikan distribusi normal kumulatif,"=NORM.DIST(1,0,1,TRUE) ? 0.841",Intermediate,
362,NORM.S.DIST,Statistical,"=NORM.S.DIST(z,cumulative)",Mengembalikan distribusi normal standar kumulatif,"=NORM.S.DIST(1,TRUE) ? 0.841",Intermediate,
363,NORM.S.INV,Statistical,=NORM.S.INV(probability),Mengembalikan invers distribusi normal standar,=NORM.S.INV(0.841) ? 1,Advanced,
364,NORMINV,Statistical,"=NORMINV(probability,mean,standard_dev)",Mengembalikan invers distribusi normal kumulatif,"=NORMINV(0.841,0,1) ? 1",Advanced,
365,PEARSON,Statistical,"=PEARSON(array1,array2)",Mengembalikan koefisien korelasi Pearson,"=PEARSON(A1:A10,B1:B10) ? 0.85",Intermediate,
366,PERCENTILE.EXC,Statistical,"=PERCENTILE.EXC(array,k)","Mengembalikan persentil ke-k (0..1, eksklusif)","=PERCENTILE.EXC(A1:A10,0.25) ? 3",Intermediate,
367,PERCENTILE.INC,Statistical,"=PERCENTILE.INC(array,k)",Mengembalikan persentil ke-k,"=PERCENTILE.INC(A1:A10,0.25) ? 3",Intermediate,
368,PERCENTRANK.EXC,Statistical,"=PERCENTRANK.EXC(array,x,[significance])","Mengembalikan peringkat persentase (0..1, eksklusif)","=PERCENTRANK.EXC(A1:A10,5) ? 0.4",Intermediate,
369,PERCENTRANK.INC,Statistical,"=PERCENTRANK.INC(array,x,[significance])",Mengembalikan peringkat persentase,"=PERCENTRANK.INC(A1:A10,5) ? 0.4",Intermediate,
370,PERMUT,Statistical,"=PERMUT(number,number_chosen)",Mengembalikan jumlah permutasi,"=PERMUT(5,3) ? 60",Intermediate,
371,PERMUTATIONA,Statistical,"=PERMUTATIONA(number,number_chosen)",Mengembalikan jumlah permutasi dengan pengulangan,"=PERMUTATIONA(5,3) ? 125",Advanced,
372,PHI,Statistical,=PHI(x),Mengembalikan nilai fungsi kepadatan distribusi normal standar,=PHI(1) ? 0.24197,Advanced,
373,POISSON.DIST,Statistical,"=POISSON.DIST(x,mean,cumulative)",Mengembalikan distribusi Poisson,"=POISSON.DIST(2,3,FALSE) ? 0.224",Advanced,
374,PROB,Statistical,"=PROB(x_range,prob_range,lower_limit,[upper_limit])",Mengembalikan probabilitas nilai berada di antara batas,"=PROB(A1:A10,B1:B10,2,5) ? 0.3",Intermediate,
375,QUARTILE.EXC,Statistical,"=QUARTILE.EXC(array,quart)",Mengembalikan kuartil dataset (0..1 eksklusif),"=QUARTILE.EXC(A1:A10,1) ? 2",Intermediate,
376,QUARTILE.INC,Statistical,"=QUARTILE.INC(array,quart)",Mengembalikan kuartil dataset,"=QUARTILE.INC(A1:A10,1) ? 2",Intermediate,
377,RANK.AVG,Statistical,"=RANK.AVG(number,ref,[order])",Mengembalikan peringkat angka dengan rata-rata jika ada tie,"=RANK.AVG(5,A1:A10,0) ? 4.5",Intermediate,
378,RANK.EQ,Statistical,"=RANK.EQ(number,ref,[order])",Mengembalikan peringkat angka,"=RANK.EQ(5,A1:A10,0) ? 4",Intermediate,
379,RSQ,Statistical,"=RSQ(known_y's,known_x's)",Mengembalikan kuadrat koefisien korelasi Pearson,"=RSQ(B1:B10,A1:A10) ? 0.72",Advanced,
380,SKEW,Statistical,"=SKEW(number1,[number2],...)",Mengembalikan skewness distribusi,=SKEW(A1:A10) ? 0.5,Advanced,
381,SKEW.P,Statistical,"=SKEW.P(number1,[number2],...)",Mengembalikan skewness distribusi populasi,=SKEW.P(A1:A10) ? 0.48,Advanced,
382,SLOPE,Statistical,"=SLOPE(known_y's,known_x's)",Mengembalikan slope garis regresi linear,"=SLOPE(B1:B10,A1:A10) ? 1.5",Intermediate,
383,SMALL,Statistical,"=SMALL(array,k)",Mengembalikan nilai terkecil ke-k,"=SMALL(A1:A10,2) ? 3",Intermediate,
384,STANDARDIZE,Statistical,"=STANDARDIZE(x,mean,standard_dev)",Mengembalikan nilai dinormalisasi,"=STANDARDIZE(5,3,2) ? 1",Advanced,
385,STDEV.P,Statistical,"=STDEV.P(number1,[number2],...)",Menghitung deviasi standar populasi,=STDEV.P(A1:A10) ? 1.8,Intermediate,
386,STDEV.S,Statistical,"=STDEV.S(number1,[number2],...)",Mengestimasi deviasi standar sampel,=STDEV.S(A1:A10) ? 1.9,Intermediate,
387,STDEVA,Statistical,"=STDEVA(value1,[value2],...)",Mengestimasi deviasi standar sampel termasuk teks/logika,"=STDEVA(TRUE,1,2) ? 0.5",Advanced,
388,STDEVPA,Statistical,"=STDEVPA(value1,[value2],...)",Menghitung deviasi standar populasi termasuk teks/logika,"=STDEVPA(TRUE,1,2) ? 0.5",Advanced,
389,STEYX,Statistical,"=STEYX(known_y's,known_x's)",Mengembalikan standard error prediksi y untuk setiap x,"=STEYX(B1:B10,A1:A10) ? 0.8",Advanced,
390,T.DIST,Statistical,"=T.DIST(x,degrees_freedom,cumulative)",Mengembalikan distribusi t-Student,"=T.DIST(1.5,10,TRUE) ? 0.91",Advanced,
391,T.DIST.2T,Statistical,"=T.DIST.2T(x,degrees_freedom)",Mengembalikan distribusi t dua sisi,"=T.DIST.2T(1.5,10) ? 0.18",Advanced,
392,T.DIST.RT,Statistical,"=T.DIST.RT(x,degrees_freedom)",Mengembalikan distribusi t-Student satu sisi,"=T.DIST.RT(1.5,10) ? 0.09",Advanced,
393,T.INV,Statistical,"=T.INV(probability,degrees_freedom)",Mengembalikan nilai t dari distribusi t,"=T.INV(0.95,10) ? 1.812",Advanced,
394,T.INV.2T,Statistical,"=T.INV.2T(probability,degrees_freedom)",Mengembalikan invers distribusi t dua sisi,"=T.INV.2T(0.05,10) ? 2.228",Advanced,
395,T.TEST,Statistical,"=T.TEST(array1,array2,tails,type)",Mengembalikan probabilitas t-test,"=T.TEST(A1:A10,B1:B10,2,2) ? 0.04",Advanced,
396,TREND,Statistical,"=TREND(known_y's,known_x's,new_x's,[const])",Mengembalikan nilai sepanjang tren linear,"=TREND(B1:B10,A1:A10) ? {predicted values}",Advanced,
397,TRIMMEAN,Statistical,"=TRIMMEAN(array,percent)",Mengembalikan rata-rata dataset setelah trimming,"=TRIMMEAN(A1:A10,0.2) ? 5",Intermediate,
398,VAR.P,Statistical,"=VAR.P(number1,[number2],...)",Menghitung varians populasi,=VAR.P(A1:A10) ? 3.2,Intermediate,
399,VAR.S,Statistical,"=VAR.S(number1,[number2],...)",Mengestimasi varians sampel,=VAR.S(A1:A10) ? 3.5,Intermediate,
400,VARA,Statistical,"=VARA(value1,[value2],...)",Mengestimasi varians sampel termasuk teks/logika,"=VARA(TRUE,1,2) ? 0.5",Advanced,
401,VARPA,Statistical,"=VARPA(value1,[value2],...)",Menghitung varians populasi termasuk teks/logika,"=VARPA(TRUE,1,2) ? 0.5",Advanced,
402,WEIBULL.DIST,Statistical,"=WEIBULL.DIST(x,alpha,beta,cumulative)",Mengembalikan distribusi Weibull,"=WEIBULL.DIST(2,1.5,3,TRUE) ? 0.527",Advanced,
403,Z.TEST,Statistical,"=Z.TEST(array,x,[sigma])",Mengembalikan probabilitas satu sisi uji z,"=Z.TEST(A1:A10,5) ? 0.08",Advanced,
404,ARRAYTOTEXT,Text,"=ARRAYTOTEXT(array,[ignore])",Mengembalikan array sebagai teks,"=ARRAYTOTEXT(A1:B2) ? {""1"",""2"";""3"",""4""}",Intermediate,
405,ASC,Text,=ASC(text),Mengubah huruf full-width/double-byte menjadi half-width/single-byte,"=ASC(""?"") ? ""A""",Basic,
406,BAHTTEXT,Text,=BAHTTEXT(number),Mengubah angka menjadi teks dengan format baht,"=BAHTTEXT(123) ? ""?????????????????????????""",Intermediate,
407,CHAR,Text,=CHAR(number),Mengembalikan karakter berdasarkan kode ASCII,"=CHAR(65) ? ""A""",Basic,
408,CLEAN,Text,=CLEAN(text),Menghapus karakter non-printable,=CLEAN(A1) ? teks bersih,Basic,
409,CODE,Text,=CODE(text),Mengembalikan kode numerik karakter pertama,"=CODE(""A"") ? 65",Basic,
410,CONCAT,Text,"=CONCAT(text1,[text2],...)",Menggabungkan teks dari beberapa range/string,"=CONCAT(A1,B1) ? ""HaloDunia""",Intermediate,
411,CONCATENATE,Text,"=CONCATENATE(text1,[text2],...)",Menggabungkan beberapa teks menjadi satu,"=CONCATENATE(A1,B1) ? ""HaloDunia""",Intermediate,
412,DBCS,Text,=DBCS(text),Mengubah huruf half-width menjadi full-width,"=DBCS(""A"") ? ""?""",Basic,
413,DOLLAR,Text,"=DOLLAR(number,[decimals])",Mengubah angka menjadi teks dengan format $,"=DOLLAR(1234.567,2) ? ""$1,234.57""",Intermediate,
414,EXACT,Text,"=EXACT(text1,text2)",Mengecek apakah dua teks identik,"=EXACT(""Halo"",""halo"") ? FALSE",Basic,
415,FIND,Text,"=FIND(find_text,within_text,[start_num])",Menemukan teks (case-sensitive),"=FIND(""l"",""Hello"") ? 3",Basic,
416,FIXED,Text,"=FIXED(number,[decimals],[no_commas])",Format angka sebagai teks dengan desimal tetap,"=FIXED(123.456,2) ? ""123.46""",Intermediate,
417,JIS,Text,=JIS(text),Mengubah karakter half-width menjadi full-width,"=JIS(""A"") ? ""?""",Basic,
418,LEFT,Text,"=LEFT(text,[num_chars])",Mengambil karakter dari kiri,"=LEFT(""Halo"",2) ? ""Ha""",Basic,
419,LEN,Text,=LEN(text),Menghitung jumlah karakter,"=LEN(""Halo"") ? 4",Basic,
420,LOWER,Text,=LOWER(text),Mengubah teks menjadi huruf kecil,"=LOWER(""HALO"") ? ""halo""",Basic,
421,MID,Text,"=MID(text,start_num,num_chars)",Mengambil karakter dari posisi tertentu,"=MID(""Halo"",2,2) ? ""al""",Basic,
422,NUMBERVALUE,Text,"=NUMBERVALUE(text,[decimal_separator],[group_separator])",Mengubah teks menjadi angka,"=NUMBERVALUE(""1,234.5"") ? 1234.5",Intermediate,
423,PHONETIC,Text,=PHONETIC(reference),Mengekstrak karakter furigana,"=PHONETIC(A1) ? ""????""",Advanced,
424,PROPER,Text,=PROPER(text),Mengubah huruf awal setiap kata menjadi kapital,"=PROPER(""halo dunia"") ? ""Halo Dunia""",Basic,
425,REPLACE,Text,"=REPLACE(old_text,start_num,num_chars,new_text)",Mengganti karakter dalam teks,"=REPLACE(""Halo"",2,2,""xx"") ? ""Hxxo""",Intermediate,
426,REPT,Text,"=REPT(text,number_times)",Mengulang teks beberapa kali,"=REPT(""Ha"",3) ? ""HaHaHa""",Basic,
427,RIGHT,Text,"=RIGHT(text,[num_chars])",Mengambil karakter dari kanan,"=RIGHT(""Halo"",2) ? ""lo""",Basic,
428,SEARCH,Text,"=SEARCH(find_text,within_text,[start_num])",Menemukan teks (tidak case-sensitive),"=SEARCH(""l"",""Hello"") ? 3",Basic,
429,SUBSTITUTE,Text,"=SUBSTITUTE(text,old_text,new_text,[instance_num])",Mengganti teks lama dengan baru,"=SUBSTITUTE(""Halo Halo"",""Halo"",""Hai"") ? ""Hai Hai""",Intermediate,
430,T,Text,=T(value),Mengubah argumen menjadi teks,"=T(123) ? """"",Basic,
431,TEXT,Text,"=TEXT(value,format_text)",Format angka menjadi teks,"=TEXT(1234,""$#,##0.00"") ? ""$1,234.00""",Intermediate,
432,TEXTJOIN,Text,"=TEXTJOIN(delimiter,ignore_empty,text1,[text2],...)",Menggabungkan teks dengan delimiter,"=TEXTJOIN("", "",TRUE,A1:C1) ? ""A, B, C""",Intermediate,
433,TRIM,Text,=TRIM(text),Menghapus spasi ekstra,"=TRIM("" Halo "") ? ""Halo""",Basic,
434,UNICHAR,Text,=UNICHAR(number),Mengembalikan karakter Unicode dari nomor,"=UNICHAR(9731) ? ""?""",Intermediate,
435,UNICODE,Text,=UNICODE(text),Mengembalikan kode Unicode karakter pertama,"=UNICODE(""A"") ? 65",Intermediate,
436,UPPER,Text,=UPPER(text),Mengubah teks menjadi huruf besar,"=UPPER(""halo"") ? ""HALO""",Basic,
437,VALUE,Text,=VALUE(text),Mengubah teks menjadi angka,"=VALUE(""123"") ? 123",Basic,
438,VALUETOTEXT,Text,=VALUETOTEXT(value),Mengubah angka menjadi teks,"=VALUETOTEXT(123) ? ""123""",Basic,
439,ENCODEURL,Web,=ENCODEURL(text),Mengembalikan teks URL-encoded,"=ENCODEURL(""https://a b.com"") ? ""https%3A%2F%2Fa%20b.com""",Intermediate,Hanya Excel desktop
440,FILTERXML,Web,"=FILTERXML(xml,xpath)",Mengambil data spesifik dari XML,"=FILTERXML(A1,""//name"") ? ""John""",Advanced,Hanya Excel desktop
441,WEBSERVICE,Web,=WEBSERVICE(url),Mengambil data dari web service,"=WEBSERVICE(""https://api.example.com"") ? JSON/text",Advanced,Hanya Excel desktop
